,ns,size,snippet,timestamp,title,wordcount,date
0,0,100443,"industriels, Archives d'État de <span class=""searchmatch"">Genève</span> (Annexe), Bâtiment des forces motrices, Library de <span class=""searchmatch"">Genève</span>, Library juive de <span class=""searchmatch"">Genève</span> «Gérard Nordmann», Cabinet des",2016-11-14T05:47:15Z,Geneva,10419,November 2016
1,0,5033,"&quot;Le Stade de <span class=""searchmatch"">Genève</span> dispose de la Rolls-Royce des pelouses&quot; (in French). Tribune de <span class=""searchmatch"">Genève</span>. Retrieved 1 August 2016.   Le Stade de <span class=""searchmatch"">Genève</span> (PDF), Schneider",2016-11-26T15:11:48Z,Stade de Genève,366,November 2016
2,0,4930,"Sports.   Originally founded as the <span class=""searchmatch"">Genève</span> Devils in the summer of 2000, the club rebranded itself as Les Lions de <span class=""searchmatch"">Genève</span> in 2010 after merging with Meyrin",2016-05-29T23:45:52Z,Lions de Genève,220,May 2016
3,0,8475,"Vernets. 1963 : Creation of <span class=""searchmatch"">Genève</span>-Servette HC after the fusion of the ice hockey sections of Servette &amp; UGS. 1964 : <span class=""searchmatch"">Genève</span>-Servette is champion of the",2016-10-26T12:07:18Z,Genève-Servette HC,868,October 2016
4,0,2465,"Banque cantonale de <span class=""searchmatch"">Genève</span> (BCGE) is a cantonal bank of Switzerland.   The Banque cantonale de <span class=""searchmatch"">Genève</span> was originally founded in 1861. The BCGE was formed",2016-10-25T11:12:48Z,Banque cantonale de Genève,157,October 2016
5,0,22389,"Universal <span class=""searchmatch"">Genève</span> SA is a Swiss luxury watch company, founded in 1894 as &quot;Universal Watch&quot;. Since its beginnings, the company has produced complete watches",2016-11-16T02:54:28Z,Universal Genève,2405,November 2016
6,0,3919,"de <span class=""searchmatch"">Genève</span> was first published by James T. Bates on 1 February 1879. The paper is headquartered in Geneva. The circulation of the Tribune de <span class=""searchmatch"">Genève</span> was",2016-09-28T12:48:39Z,Tribune de Genève,215,September 2016
7,0,4259,"complémentaire de <span class=""searchmatch"">Genève</span> (Japanese) École Japonaise complémentaire de <span class=""searchmatch"">Genève</span> (Archive; 2001-2005) (Japanese) École Japonaise complémentaire de <span class=""searchmatch"">Genève</span> (Archive;",2016-04-24T06:37:16Z,École Japonaise Complémentaire de Genève,332,April 2016
8,0,2792,"Urania <span class=""searchmatch"">Genève</span> Sport is a Swiss omnisport club based in Geneva. Its football section was founded in 1896. The current club was born in 1922 through a merger",2016-03-01T11:40:36Z,Urania Genève Sport,110,March 2016
9,0,4197,"MS <span class=""searchmatch"">Genève</span> is the oldest paddle ship of Lake Geneva. <span class=""searchmatch"">Genève</span> was built in 1896 by Sulzer for the Compagnie Générale de Navigation sur le lac Léman (CGN)",2016-10-09T21:18:00Z,Paddle steamer Genève,291,October 2016
10,0,3067,"The Société Nautique de <span class=""searchmatch"">Genève</span> is a yacht club based in Geneva (Switzerland). It was founded in 1872 with the goal of developing nautical sports and high",2016-09-10T04:49:58Z,Société Nautique de Genève,336,September 2016
11,0,2038,"Wikipedia article, see Category:Racing Club <span class=""searchmatch"">Genève</span> players.  For a full list of managers, see List of Racing Club <span class=""searchmatch"">Genève</span> managers.   Main article: Centre sportif",2016-03-01T11:32:35Z,Racing Club Genève,96,March 2016
12,0,1269,"The <span class=""searchmatch"">Genève</span> Rink Hockey Club is a roller hockey team from Geneva, Switzerland. It was founded in 1939 and won its 11th Swiss title in 2011. It will compete",2016-10-15T03:22:47Z,Genève RHC,48,October 2016
13,0,2226,"The Fédération des Entreprises Romandes <span class=""searchmatch"">Genève</span> (FER <span class=""searchmatch"">Genève</span>) is a Swiss (Romand designate Swiss Cantons where people speak French) employer’s organization",2016-09-01T08:44:10Z,Fédération des Entreprises Romandes Genève,167,September 2016
14,0,7164,"de <span class=""searchmatch"">Genève</span> (in French), City of Geneva, 164e année (51), pp. 6039–6071   &quot;Projet d'agrandissement et de rénovation du Musée d'ethnographie de <span class=""searchmatch"">Genève</span> (Ville",2016-02-26T21:01:11Z,Musée d'ethnographie de Genève,609,February 2016
15,0,3718,"Fêtes de <span class=""searchmatch"">Genève</span> (Geneva Festival) is an annual summer event in Geneva, Switzerland. It includes a grand fireworks display.   The Fêtes de <span class=""searchmatch"">Genève</span> started",2016-11-13T20:46:21Z,Fêtes de Genève,205,November 2016
16,0,1365,"The Conservatoire de musique de <span class=""searchmatch"">Genève</span> is a music school in Geneva, Switzerland,  founded by François Bartholoni in 1835. This conservatory is the oldest",2014-11-01T05:41:35Z,Conservatoire de Musique de Genève,130,November 2014
17,0,8938,"Illinois, see Geneva station (Illinois). <span class=""searchmatch"">Genève</span>-Cornavin (also known as Gare de Cornavin and signed simply as <span class=""searchmatch"">Genève</span>) is Geneva's main railway station, located",2016-07-17T14:25:01Z,Genève-Cornavin railway station,758,July 2016
18,0,16601,"Grand Théâtre de <span class=""searchmatch"">Genève</span> is an opera house in Geneva, Switzerland. As with many other opera houses, the Grand Théâtre de <span class=""searchmatch"">Genève</span> is both a venue and an",2015-09-24T09:29:25Z,Grand Théâtre de Genève,2438,September 2015
19,0,1727,"The Centre d’Art Contemporain <span class=""searchmatch"">Genève</span> (CAC) is a contemporary art exhibition centre in Geneva, Switzerland, established in 1974. CAC was the first contemporary",2016-11-15T22:44:07Z,Centre d’Art Contemporain Genève,133,November 2016
20,0,1978,"Vol. 1 – Gli Angeli <span class=""searchmatch"">Genève</span>; Stephan Macleod (conductor). Sony Classical (2008) German Baroque Cantatas Vol. 2 – Gli Angeli <span class=""searchmatch"">Genève</span>; Stephan Macleod (conductor)",2015-06-21T10:41:35Z,Gli Angeli Genève,172,June 2015
21,0,2786,"managed by the Bibliothèque de <span class=""searchmatch"">Genève</span>.Branch Locations  Minuscule 75 Minuscule 323    Historique de la Bibliothèque de <span class=""searchmatch"">Genève</span>   David H. Stam, ed. (2001)",2016-09-24T21:00:58Z,Bibliothèque Publique et Universitaire (Geneva),273,September 2016
22,0,1537,"Janus  Aellen, W., 1970. 150 ans du Muséum d'Histoire naturelle de <span class=""searchmatch"">Genève</span>. A. Kundig <span class=""searchmatch"">Genève</span>. Sigrist, R., 1990. Les origines de la Société de Physique et d'Histoire",2016-09-16T14:52:31Z,Natural History Museum of Geneva,153,September 2016
23,0,2084,"À gauche toute! <span class=""searchmatch"">Genève</span> is a political coalition in the canton of Geneva (Switzerland) founded in 2006. It is a regrouping of the Genevan Communist Party",2016-10-17T06:15:44Z,À gauche toute! Genève,190,October 2016
24,0,841,"L'Orchestre de chambre de <span class=""searchmatch"">Genève</span>), is a Swiss professional orchestra. It was founded in 1958.    &quot;L'Orchestre de Chambre de <span class=""searchmatch"">Genève</span> (L'OCG)&quot;. locg.ch. Retrieved",2016-01-27T16:30:44Z,Orchestre de chambre de Genève,60,January 2016
25,0,26884,"&quot;Servette Geneva&quot; redirects here. For ice hockey club, see <span class=""searchmatch"">Genève</span>-Servette HC. Servette FC is a Swiss football club based in Geneva. They currently play",2016-11-13T01:23:42Z,Servette FC,2186,November 2016
26,0,6540,"musique de <span class=""searchmatch"">Genève</span>: son histoire de 1835 à 1935. <span class=""searchmatch"">Genève</span>, [s.n.], 1935. Jeandin, Richard : Le Conservatoire de musique de <span class=""searchmatch"">Genève</span> : 1935-1960. <span class=""searchmatch"">Genève</span>, [s.n.]",2013-08-30T06:57:31Z,Geneva University of Music,612,August 2013
27,0,3494,"(Order of Collège de <span class=""searchmatch"">Genève</span>) that work began on the actual building of a new official Collège de <span class=""searchmatch"">Genève</span> and Université de <span class=""searchmatch"">Genève</span>. This building would",2016-11-28T01:07:40Z,Collège Calvin,348,November 2016
28,0,21158,"The Republic and Canton of Geneva (French: République et Canton de <span class=""searchmatch"">Genève</span>; Arpitan: Rèpublica et Canton de Geneva; German: Republik und Kanton Genf; Italian:",2016-11-18T07:32:16Z,Canton of Geneva,1686,November 2016
29,0,9925,"The Geneva trolleybus system (French: Réseau trolleybus de <span class=""searchmatch"">Genève</span>) forms part of the public transport network in Geneva, Switzerland. It is the second",2016-07-16T20:10:51Z,Trolleybuses in Geneva,542,July 2016
